Key,Context,Example,Source,de,en-us,es,es-es,fr,it,ja,pt,ru
Average,,,,Durchschnitt,Average,Promedio,Promedio,Moyen,Media,平均,Média,Среднее
BACKPACK_SEARCH,,,,Suchen,Search,Buscar,Buscar,Rechercher,Cerca,サーチ,Pesquisar,Поиск
Current,,,,Aktuell,Current,Actual,Actual,Actuel,Attuale,現在,Atual,Текущее
FriendPlayerPrompt.DoPromptRequestFriendPlayer,,,,Möchtest du {RBX_NAME} eine Freundesanfrage senden?,Would you like to send {RBX_NAME} a Friend Request?,¿Quieres enviar a {RBX_NAME} una solicitud de amistad?,¿Quieres enviar a {RBX_NAME} una solicitud de amistad?,Souhaitez-vous envoyer une demande d'ami à {RBX_NAME} ?,Vuoi inviare una richiesta di amicizia a {RBX_NAME}?,{RBX_NAME} に友達リクエストを送りますか？,Gostaria de enviar um pedido de amizade para {RBX_NAME}?,Отправить пользователю {RBX_NAME} запрос дружбы?
FriendPlayerPrompt.DoPromptUnfriendPlayer,,,,Möchtest du {RBX_NAME} von deiner Freundesliste entfernen?,Would you like to remove {RBX_NAME} from your friends list?,¿Quieres eliminar a {RBX_NAME} de tu lista de amigos?,¿Quieres eliminar a {RBX_NAME} de tu lista de amigos?,Souhaitez-vous retirer {RBX_NAME} de votre liste d'amis ?,Vuoi rimuovere {RBX_NAME} dalla tua lista amici?,{RBX_NAME} を友達リストから削除しますか？,Gostaria de remover {RBX_NAME} da sua lista de amigos?,Удалить пользователя {RBX_NAME} из списка друзей?
FriendPlayerPrompt.promptCompletedCallback.AtFriendLimit,,,,"Du kannst {RBX_NAME} keine Freundesanfrage senden, da dieser Spieler die max. Anzahl an Freunden erreicht hat.",You can not send a friend request to {RBX_NAME} because they are at the max friend limit.,No puedes enviar una solicitud de amistad a {RBX_NAME} porque ha alcanzado el límite máximo de amigos.,No puedes enviar una solicitud de amistad a {RBX_NAME} porque ha alcanzado el límite máximo de amigos.,"Vous ne pouvez pas envoyer une demande d'ami à {RBX_NAME}, car il a atteint sa limite maximale d'amis.",Non puoi inviare una richiesta di amicizia a {RBX_NAME} perché ha raggiunto il limite massimo di amici.,{RBX_NAME}の友達が最大数に達しているため友達リクエストが送れませんでした。,Você não pode enviar um pedido de amizade para {RBX_NAME} pois ele(a) alcançou o limite máximo de amigos.,Нельзя отправить запрос дружбы пользователю {RBX_NAME}: количество его друзей достигло максимума.
FriendPlayerPrompt.promptCompletedCallback.UnknownError,,,,Beim Senden der Freundesanfrage an {RBX_NAME} ist ein Fehler aufgetreten. Bitte versuche es später erneut.,An error occurred while sending {RBX_NAME} a friend request. Please try again later.,Se ha producido un error al enviar una solicitud de amistad a {RBX_NAME}. Inténtalo de nuevo más tarde.,Se ha producido un error al enviar una solicitud de amistad a {RBX_NAME}. Inténtalo de nuevo más tarde.,Une erreur est survenue lors de l'envoi de la demande d'ami à {RBX_NAME}. Veuillez réessayer plus tard.,Si è verificato un errore nell'invio della richiesta di amicizia a {RBX_NAME}. Riprova più tardi.,{RBX_NAME} への友達リクエスト中にエラーが発生しました。しばらくしてからやり直してください。,Um erro ocorreu ao enviar um pedido de amizade para {RBX_NAME}. Tente de novo mais tarde.,При отправлении запроса дружбы пользователю {RBX_NAME} произошла ошибка. Повторите попытку позже.
KEY_DESCRIPTION_OPTIONAL,,,,Optional,Optional,Opcional,Opcional,Optionnel,Opzionale,オプション,Opcional,По усмотрению
KEY_PLAYER_IDLE_DISCONNECT,,,,"Deine Verbindung wurde getrennt, da du {RBX_NUMBER} Minuten lang untätig warst.",You were disconnected for being idle {RBX_NUMBER} minutes,Se te ha desconectado por no mostrar actividad durante {RBX_NUMBER} minutos.,Se te ha desconectado por no mostrar actividad durante {RBX_NUMBER} minutos.,Vous avez été déconnecté car vous êtes resté inactif durant {RBX_NUMBER} minutes.,Sei stato disconnesso perché inattivo per {RBX_NUMBER} minuti,{RBX_NUMBER} 分間アイドル状態だったので切断されました。,Você perdeu a conexão por ficar inativo(a) por {RBX_NUMBER} minutos,"Вы отключены, так как не были активны в течение {RBX_NUMBER} мин."
Network,,,,(Netzwerk),(Network),(Red),(Red),(Réseau),(Rete),(ネットワーク),(Rede),(Сеть)
NotificationScrip2.onCurrentGraphicsQualityLevelChanged.Decreased,,,,Verringert auf {RBX_NUMBER},Decreased to {RBX_NUMBER},Reducción a {RBX_NUMBER},Reducción a {RBX_NUMBER},Réduit jusqu'à {RBX_NUMBER},Sceso a {RBX_NUMBER},{RBX_NUMBER}に減少,Reduzido para {RBX_NUMBER},Уменьшено до {RBX_NUMBER}
NotificationScrip2.onCurrentGraphicsQualityLevelChanged.Increased,,,,Erhöht auf {RBX_NUMBER},Increased to {RBX_NUMBER},Aumento hasta {RBX_NUMBER},Aumento hasta {RBX_NUMBER},Augmenté jusqu'à {RBX_NUMBER},Salito a {RBX_NUMBER},{RBX_NUMBER}に増加,Aumentado para {RBX_NUMBER},Увеличено до {RBX_NUMBER}
NotificationScript2.FriendRequestEvent.Accept,,,,Sie sind jetzt Freunde mit {RBX_NAME}!,You are now friends with {RBX_NAME}!,Ahora eres amigo de {RBX_NAME}.,Ahora eres amigo de {RBX_NAME}.,Vous êtes maintenant ami avec {RBX_NAME}!,Sei ora amici di {RBX_NAME}!,あなたは{RBX_NAME}の友達です！,Agora você é amigo do {RBX_NAME}!,Вы теперь друзья с {RBX_NAME}!
NotificationScript2.NewFollower,,,,Neuer Follower {RBX_NAME} folgt dir jetzt!,New Follower {RBX_NAME} is now following you!,Seguidor nuevo: ¡{RBX_NAME} te está siguiendo!,Seguidor nuevo: ¡{RBX_NAME} te está siguiendo!,"Désormais, le nouvel abonné, {RBX_NAME}, vous suit !",Il nuovo follower {RBX_NAME} ha cominciato a seguirti!,新規フォロワー {RBX_NAME} があなたをフォローしました！,"O novo seguidor, {RBX_NAME}, está seguindo você agora!",На вас подписался пользователь {RBX_NAME}!
NotificationScript2.onPointsAwarded.multiple,,,,Du hast {RBX_NUMBER} Punkte erhalten!,You received {RBX_NUMBER} points!,¡Has recibido {RBX_NUMBER} puntos!,¡Has recibido {RBX_NUMBER} puntos!,Vous avez reçu {RBX_NUMBER} points !,Hai ricevuto {RBX_NUMBER} punti!,{RBX_NUMBER} ポイントをゲットしました!,Você recebeu {RBX_NUMBER} pontos!,Вы получили {RBX_NUMBER} очк.!
NotificationScript2.onPointsAwarded.single,,,,Du hast {RBX_NUMBER} Punkt erhalten!,You received {RBX_NUMBER} point!,¡Has recibido {RBX_NUMBER} punto!,¡Has recibido {RBX_NUMBER} punto!,Vous avez reçu {RBX_NUMBER} point !,Hai ricevuto {RBX_NUMBER} punto!,{RBX_NUMBER} ポイントをゲットしました!,Você recebeu {RBX_NUMBER} ponto!,Вы получили {RBX_NUMBER} очк.!
NotificationScript2.onPointsRewarded.negative,,,,Du hast {RBX_NUMBER} Punkte verloren!,You lost {RBX_NUMBER} points!,¡Has perdido {RBX_NUMBER} puntos!,¡Has perdido {RBX_NUMBER} puntos!,Vous avez perdu {RBX_NUMBER} points !,Hai perso {RBX_NUMBER} punti!,{RBX_NUMBER} ポイント失いました!,Você perdeu {RBX_NUMBER} pontos!,Вы потеряли {RBX_NUMBER} очк.!
PlayerDropDown.onFollowButtonPress.success,,,,folgst jetzt {RBX_NAME},now following {RBX_NAME},Estás siguiendo a {RBX_NAME},Estás siguiendo a {RBX_NAME},Vous suivez désormais {RBX_NAME}.,stai seguendo {RBX_NAME},{RBX_NAME}人をフォロー中,agora seguindo {RBX_NAME},подписались на {RBX_NAME}
PlayerDropDown.onUnfollowButtonPress.success,,,,Du folgst nicht mehr {RBX_NAME}.,No longer following {RBX_NAME}.,Ya no estás siguiendo a {RBX_NAME}.,Ya no estás siguiendo a {RBX_NAME}.,Vous ne suivez plus {RBX_NAME}.,Non stai seguendo ancora {RBX_NAME}.,あなたはもはや{RBX_NAME}に従っていません。,Você não está mais seguindo {RBX_NAME}.,Вы перестали следовать {RBX_NAME}.
PurchasePromptScript.ERROR_MSG.INVALID_FUNDS,,,,dein Konto nicht über genügend ROBUX verfügt,your account does not have enough ROBUX,tu cuenta no tiene suficientes ROBUX,tu cuenta no tiene suficientes ROBUX,votre compte ne possède pas assez de ROBUX,il tuo account non ha abbastanza ROBUX,アカウントのROBUXが足りません。,sua conta não tem ROBUX suficientes,у вас недостаточно ROBUX
PurchasePromptScript.ERROR_MSG.MAINTENANCE,,,,ROBLOX Wartungsarbeiten durchführt,ROBLOX is performing maintenance,ROBLOX está efectuando tareas de mantenimiento,ROBLOX está efectuando tareas de mantenimiento,ROBLOX est en cours de maintenance,ROBLOX sta effettuando la manutenzione,ROBLOXはメンテナンス中です。,ROBLOX está em manutenção,Проводится техническое обслуживание ROBLOX
PurchasePromptScript.ERROR_MSG.PURCHASE_DISABLED,,,,Käufe im Spiel derzeit deaktiviert sind,In-game purchases are temporarily disabled,las compras dentro de la aplicación están desactivadas temporalmente,las compras dentro de la aplicación están desactivadas temporalmente,Les achats intégrés sont temporairement désactivés,Gli acquisti all'interno del gioco sono temporaneamente disattivati,ゲーム内購入は一時的に無効になっています。,As compras no jogo estão temporariamente desabilitadas,Внутриигровые покупки временно недоступны
PurchasePromptScript.ERROR_MSG.UNKNOWN,,,,ein Problem aufgetreten ist,something went wrong,algo ha ido mal,algo ha ido mal,quelque chose s'est mal passé,qualcosa è andato storto,何かが違う,algo deu errado,возникли проблемы
PurchasePromptScript.PURCHASE_FAILED.CANNOT_GET_BALANCE,,,,Dein Guthaben kann derzeit nicht abgerufen werden. Dein Konto wurde nicht belastet. Bitte versuche es später erneut.,Cannot retrieve your balance at this time. Your account has not been charged. Please try again later.,En este momento no es posible acceder a tu saldo. No se ha llevado a cabo ningún cobro en tu cuenta. Inténtalo de nuevo más tarde.,En este momento no es posible acceder a tu saldo. No se ha llevado a cabo ningún cobro en tu cuenta. Inténtalo de nuevo más tarde.,Impossible d'obtenir votre solde pour l'instant. Votre compte n'a pas été débité. Veuillez réessayer plus tard.,Impossibile recuperare i tuoi fondi in questo momento. Il tuo account non ha subito addebiti. Riprova più tardi.,現在は残額を参照できません。アカウントがチャージされませんでした。しばらくしてからやり直してください。,Impossível obter seu saldo no momento. Nada foi cobrado da sua conta. Tente de novo mais tarde.,Не удалось получить доступ к вашему балансу. Средства с вашей учетной записи не списаны. Повторите попытку позже.
PurchasePromptScript.PURCHASE_FAILED.CANNOT_GET_ITEM_PRICE,,,,Der Preis des Gegenstands kann derzeit nicht abgerufen werden. Dein Konto wurde nicht belastet. Bitte versuche es später erneut.,We couldn't retrieve the price of the item at this time. Your account has not been charged. Please try again later.,En este momento no podemos acceder al precio de este objeto. No se ha llevado a cabo ningún cobro en tu cuenta. Inténtalo de nuevo más tarde.,En este momento no podemos acceder al precio de este objeto. No se ha llevado a cabo ningún cobro en tu cuenta. Inténtalo de nuevo más tarde.,Nous ne pouvons pas récupérer le prix de cet objet pour l'instant. Votre compte n'a pas été débité. Veuillez réessayer plus tard.,Impossibile recuperare il prezzo dell'oggetto in questo momento. Il tuo account non ha subito addebiti. Riprova più tardi.,現在はアイテムの価格が参照できません。アカウントがチャージされませんでした。しばらくしてからやり直してください。,Não conseguimos obter o preço do item no momento. Nada foi cobrado da sua conta. Tente de novo mais tarde.,Не удалось получить данные о цене товара. Средства с вашей учетной записи не списаны. Повторите попытку позже.
PurchasePromptScript.PURCHASE_FAILED.LIMITED,,,,Von diesem limitierten Gegenstand gibt es keine weiteren Exemplare. Such auf www.roblox.com nach einem anderen Verkäufer. Dein Konto wurde nicht belastet.,This limited item has no more copies. Try buying from another user on www.roblox.com. Your account has not been charged.,Este objeto limitado no tiene más copias. Intenta comprárselo a otro usuario en www.roblox.com. No se ha llevado a cabo ningún cobro en tu cuenta.,Este objeto limitado no tiene más copias. Intenta comprárselo a otro usuario en www.roblox.com. No se ha llevado a cabo ningún cobro en tu cuenta.,Il n'y a plus d'exemplaires de cet objet en série limitée. Essayez de l'acheter à un autre utilisateur sur www.roblox.com. Votre compte n'a pas été débité.,Questo oggetto limitato non è più disponibile. Prova ad acquistarlo da un altro utente sul sito www.roblox.com. Il tuo account non ha subito addebiti.,この限定アイテムはもう残っていません。www.roblox.com で他のユーザから購入してみてください。アカウントがチャージされませんでした。,Esgotaram-se as cópias deste item limitado. Tente comprar de outro usuário em www.roblox.com. Nada foi cobrado da sua conta.,Этого ограниченного товара больше нет в продаже. Попробуйте купить его у другого пользователя на сайте www.roblox.com. Средства с вашей учетной записи не списаны.
PurchasePromptScript.PURCHASE_FAILED.NOT_ENOUGH_TIX,,,,"Dieser Gegenstand kostet mehr Tickets, als du derzeit besitzt. Auf www.roblox.com kannst du Währungen tauschen, um mehr Tickets zu erhalten.",This item cost more tickets than you currently have. Try trading currency on www.roblox.com to get more tickets.,Este objeto cuesta más tiques de los que tienes en este momento. Intenta convertir tipos de moneda en www.roblox.com para obtener más tiques.,Este objeto cuesta más tiques de los que tienes en este momento. Intenta convertir tipos de moneda en www.roblox.com para obtener más tiques.,Cet objet coûte plus de tickets que vous n'en avez. Essayez d'échanger des devises sur www.roblox.com pour obtenir plus de tickets.,Questo oggetto costa più ticket di quanti tu ne abbia. Prova a scambiare valuta sul sito www.roblox.com per ottenere più ticket.,このアイテムの入手には現在お持ちのチケットでは足りません。www.roblox.com でお金のトレーディングをしてチケットを手に入れよう。,Este item custa mais bilhetes do que você tem no momento. Experimente trocar moeda do jogo em www.roblox.com para obter mais.,"Цена товара превышает имеющееся у вас количество купонов. Обменяйте валюту на странице www.roblox.com, чтобы получить больше купонов."
PurchasePromptScript.PURCHASE_FAILED.NOT_FOR_SALE,,,,Dieser Gegenstand steht derzeit nicht zum Verkauf. Dein Konto wurde nicht belastet.,This item is not currently for sale. Your account has not been charged.,Este objeto no está a la venta en este momento. No se ha llevado a cabo ningún cobro en tu cuenta.,Este objeto no está a la venta en este momento. No se ha llevado a cabo ningún cobro en tu cuenta.,Cet objet n'est pas en vente pour l'instant. Votre compte n'a pas été débité.,Questo oggetto non è attualmente in vendita. Il tuo account non ha subito addebiti.,このアイテムは現在売られていません。アカウントがチャージされませんでした。,Este item não está disponível para compra no momento. Nada foi cobrado da sua conta.,Этот товар в настоящее время не продается. Средства с вашей учетной записи не списаны.
PurchasePromptScript.PURCHASE_FAILED.PROMPT_PURCHASE_ON_GUEST,,,,"Du musst ein ROBLOX-Konto erstellen, um Gegenstände zu kaufen. Auf www.roblox.com findest du weitere Infos.","You need to create a ROBLOX account to buy items, visit www.roblox.com for more info.",Tienes que crear una cuenta de ROBLOX para comprar objetos. Visita www.roblox.com para obtener más información.,Tienes que crear una cuenta de ROBLOX para comprar objetos. Visita www.roblox.com para obtener más información.,"Vous devez créer un compte ROBLOX pour acheter des objets, rendez-vous sur www.roblox.com pour plus d'informations.","Per poter comprare oggetti, devi creare un account ROBLOX. Visita il sito www.roblox.com per maggiori informazioni.",アイテムを購入するにはROBLOX アカウントを作る必要があります。詳しくは www.roblox.com で。,Você precisa criar uma conta ROBLOX para comprar itens. Visite www.roblox.com para mais informações.,"Создайте учетную запись ROBLOX, чтобы покупать предметы. Посетите сайт www.roblox.com."
PurchasePromptScript.PURCHASE_FAILED.THIRD_PARTY_DISABLED,,,,Gegenstände von Drittanbietern können an diesem Ort nicht verkauft werden. Dein Konto wurde nicht belastet.,Third-party item sales have been disabled for this place. Your account has not been charged.,Las ventas de objetos de terceros están desactivadas para este lugar. No se ha llevado a cabo ningún cobro en tu cuenta.,Las ventas de objetos de terceros están desactivadas para este lugar. No se ha llevado a cabo ningún cobro en tu cuenta.,Les ventes d'objets par des tiers ont été désactivées pour cet emplacement. Votre compte n'a pas été débité.,Le vendite di oggetti di terzi sono state disattivate per questa località. Il tuo account non ha subito addebiti.,サードパーティ製のアイテムの販売はここでは禁止されています。アカウントがチャージされませんでした。,Vendas de itens de terceiros foram desabilitadas para este local. Nada foi cobrado da sua conta.,Продажа сторонних товаров в этом месте запрещена. Средства с вашей учетной записи не списаны.
PurchasePromptScript.PURCHASE_FAILED.UNDER_13,,,,Dein Konto ist für Spieler unter 13 Jahren. Der Kauf dieses Gegenstands ist nicht gestattet. Dein Konto wurde nicht belastet.,Your account is under 13. Purchase of this item is not allowed. Your account has not been charged.,Tu cuenta es para menores de 13 años. La compra de este objeto no está permitida. No se ha llevado a cabo ningún cobro en tu cuenta.,Tu cuenta es para menores de 13 años. La compra de este objeto no está permitida. No se ha llevado a cabo ningún cobro en tu cuenta.,Votre compte est Moins de 13 ans. L'achat de cet objet n'est pas permis. Votre compte n'a pas été débité.,Il tuo account è per giocatori con meno di 13 anni. L'acquisto di questo oggetto non è permesso. Il tuo account non ha subito addebiti.,あなたのアカウントは13才以下です。このアイテムの購入は認められていません。アカウントがチャージされませんでした。,Sua conta é para menor de 13 anos. A compra deste item não é permitida. Nada foi cobrado da sua conta.,Возраст владельца учетной записи не превышает 13 лет. Вы не можете купить этот товар. Средства с вашей учетной записи не списаны.
PurchasePromptScript.PURCHASE_MSG.BALANCE_FUTURE,,,,Nach dieser Transaktion wird dein Guthaben {RBX_NUMBER} betragen.,Your balance after this transaction will be {RBX_NUMBER}.,Tu saldo después de esta transacción será de {RBX_NUMBER}.,Tu saldo después de esta transacción será de {RBX_NUMBER}.,Votre solde après cette transaction sera de {RBX_NUMBER}.,"Dopo la transazione, i tuoi fondi saranno {RBX_NUMBER}.",取引後の残高は{RBX_NUMBER}になります。,Seu saldo depois desta transação será de {RBX_NUMBER}.,После этой операции ваш баланс составит {RBX_NUMBER}
PurchasePromptScript.PURCHASE_MSG.BALANCE_NOW,,,,Dein Guthaben beträgt nun {RBX_NUMBER}.,Your balance is now {RBX_NUMBER}.,Tu saldo es ahora de {RBX_NUMBER}.,Tu saldo es ahora de {RBX_NUMBER}.,Votre solde est désormais de {RBX_NUMBER}.,Ora i tuoi fondi sono {RBX_NUMBER}.,残高は現在{RBX_NUMBER}です。,Seu saldo agora é {RBX_NUMBER}.,Сейчас ваш баланс составляет {RBX_NUMBER}.
PurchasePromptScript.PURCHASE_MSG.FAILED,,,,"Du konntest „{RBX_NAME1}“ nicht kaufen, da {RBX_NAME2}. Dein Konto wurde nicht belastet. Bitte versuche es später erneut.",Your purchase of {RBX_NAME1} failed because {RBX_NAME2}. Your account has not been charged. Please try again later.,Tu compra de {RBX_NAME1} no ha funcionado porque {RBX_NAME2}. No se ha realizado ningún cobro. Inténtalo de nuevo más tarde.,Tu compra de {RBX_NAME1} no ha funcionado porque {RBX_NAME2}. No se ha realizado ningún cobro. Inténtalo de nuevo más tarde.,Votre achat de {RBX_NAME1} a échoué à cause de {RBX_NAME2}. Votre compte n'a pas été débité. Veuillez réessayer plus tard.,Il tuo acquisto di {RBX_NAME1} non è riuscito perché: {RBX_NAME2}. Il tuo account non ha subito addebiti. Riprova più tardi.,{RBX_NAME1}のため、{RBX_NAME2} の購入に失敗しました。アカウントがチャージされませんでした。しばらくしてからやり直してください。,Sua compra de {RBX_NAME1} fracassou. Motivo: {RBX_NAME2}. Nada foi cobrado da sua conta. Tente de novo mais tarde.,Не удалось купить товар {RBX_NAME1}: {RBX_NAME2}. Средства с вашей учетной записи не списаны. Повторите попытку позже.
PurchasePromptScript.PURCHASE_MSG.FREE,,,,Möchtest du „{RBX_NAME2}“ gerne GRATIS nehmen?,Would you like to take {RBX_NAME2} for FREE?,¿Quieres obtener {RBX_NAME2} GRATIS?,¿Quieres obtener {RBX_NAME2} GRATIS?,Souhaitez-vous prendre l'objet {RBX_NAME2} GRATUITEMENT ?,Vuoi prendere l'oggetto {RBX_NAME2} GRATIS?,アイテム名{RBX_NAME2} を無料で入手したいですか？,Gostaria de obter {RBX_NAME2} GRÁTIS?,Хотите получить товар {RBX_NAME2} БЕСПЛАТНО?
PurchasePromptScript.PURCHASE_MSG.PURCHASE,,,,Möchtest du {RBX_NAME1}  {RBX_NAME2} kaufen für:,Want to buy the {RBX_NAME1} {RBX_NAME2} for,¿Quieres comprar {RBX_NAME1} {RBX_NAME2} por,¿Quieres comprar {RBX_NAME1} {RBX_NAME2} por,Vous voulez acheter le {RBX_NAME1} {RBX_NAME2} pour,Vuoi comprare {RBX_NAME1} {RBX_NAME2} per,のために{RBX_NAME1} {RBX_NAME2} を購入希望,Deseja comprar {RBX_NAME1} {RBX_NAME2} por,Купить {RBX_NAME1} {RBX_NAME2} за
PurchasePromptScript.PURCHASE_MSG.SUCCEEDED,,,,Du hast „{RBX_NAME1}“ gekauft!,Your purchase of {RBX_NAME1} succeeded!,¡Tu compra de {RBX_NAME1} ha funcionado!,¡Tu compra de {RBX_NAME1} ha funcionado!,Votre achat de {RBX_NAME1} a réussi !,Il tuo acquisto di {RBX_NAME1} è andato a buon fine!,{RBX_NAME1} の購入に成功しました!,Sua compra de {RBX_NAME1} foi bem-sucedida!,Вы купили товар {RBX_NAME1}!
PurchasePromptScript.setBuyMoreRobuxDialog.PostBalanceText,,,,Die verbleibenden {RBX_NUMBER} ROBUX werden deinem Guthaben gutgeschrieben.,The remaining {RBX_NUMBER} ROBUX will be credited to your balance.,Los {RBX_NUMBER} ROBUX restantes se cargarán a tu saldo.,Los {RBX_NUMBER} ROBUX restantes se cargarán a tu saldo.,Les {RBX_NUMBER} ROBUX restants seront portés à votre solde.,I rimanenti {RBX_NUMBER} ROBUX verranno accreditati ai tuoi fondi.,残りの {RBX_NUMBER} ROBUX があなたの口座に返金されます。,Os {RBX_NUMBER} ROBUX restantes serão somados ao seu saldo.,Оставшиеся {RBX_NUMBER} ROBUX будут перечислены на ваш баланс.
